gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	time1_residual_logFC	time1_fdr	time1_significant	time1_response
YIF1B	-0.136443827888136	-0.167428569308537	0.577597880678897	-0.0309847414204004	0.857663043374301	FALSE	None
PITPNB	0.338864483096531	0.307180799405246	0.878244652881427	-0.0316836836912843	0.977235258481228	FALSE	None
CHD3	0.549382948498519	0.516810025271719	0.950673815159305	-0.0325729232267996	0.988928256956477	FALSE	None
DOPEY1	-0.30629464214462	-0.338944403956234	0.75148727461787	-0.0326497618116139	0.924561612042324	FALSE	None
RAD9A	-1.99640527009999	-2.03021089418092	1	-0.0338056240809255	1	FALSE	None
DHX32	0.397200735418107	0.363348699013187	0.519439475094657	-0.0338520364049192	0.829221620008806	FALSE	None
ENOX1	0.152910226769039	0.118099074899494	0.767049595269156	-0.0348111518695447	0.930717011368868	FALSE	None
CCNT1	0.311854322614379	0.275444706379255	0.362155524599257	-0.0364096162351235	0.756715836496542	FALSE	None
RBM12B	0.23896410428709	0.202548326126736	0.741457846984504	-0.036415778160354	0.922337684656127	FALSE	None
MLLT6	-0.549089743466487	-0.586247723577812	0.772619852044313	-0.0371579801113245	0.93319569163822	FALSE	None
PIEZO2	0.414928785153633	0.376264034934765	0.830166612296523	-0.0386647502188677	0.952954046115264	FALSE	None
MGRN1	-0.953494083519229	-0.994409289973961	0.748978233584536	-0.0409152064547319	0.924561612042324	FALSE	None
HNRNPLL	-0.0719372375382253	-0.112955567177347	0.736023489685306	-0.0410183296391221	0.919284399060393	FALSE	None
H2AFY2	0.283969384041569	0.24246966876142	0.943010333587574	-0.0414997152801497	0.987839347747934	FALSE	None
LIMCH1	0.145065385291588	0.102470403366116	0.99185195319931	-0.0425949819254719	0.995887152357973	FALSE	None
SGTA	-0.431538153647828	-0.475096673854548	0.736023489685306	-0.0435585202067191	0.919284399060393	FALSE	None
SOX6	0.118356311427489	0.073033504336953	0.529370214919791	-0.0453228070905362	0.836461220527014	FALSE	None
UBA7	-0.296474800747045	-0.342547626054827	0.942451994723159	-0.0460728253077816	0.987839347747934	FALSE	None
ADAP1	-0.066614152329049	-0.112858002625007	0.672394804548333	-0.0462438502959583	0.899868063057665	FALSE	None
CCNT2	0.0277940907312002	-0.0186722586519375	0.958883493191963	-0.0464663493831377	0.988928256956477	FALSE	None
PREX2	-0.0794769184338465	-0.125977972999883	0.788460357381613	-0.0465010545660368	0.936665398954391	FALSE	None
STX1B	-0.0346381199416214	-0.0831578596371278	0.687462047939737	-0.0485197396955064	0.906175616560489	FALSE	None
RPS6KC1	-0.0856333791602461	-0.135545026943086	0.943010333587574	-0.0499116477828396	0.987839347747934	FALSE	None
SLC12A5	0.280298541585944	0.229627474936793	0.602179893814338	-0.0506710666491508	0.864058126705689	FALSE	None
SRCIN1	0.281701127950843	0.229966512926348	0.764926752418007	-0.0517346150244953	0.930717011368868	FALSE	None
PAPSS1	0.187009981914086	0.135186573650494	0.675265661581359	-0.0518234082635922	0.899868063057665	FALSE	None
KSR2	0.271280063676634	0.219128666194663	0.878244652881427	-0.0521513974819712	0.977235258481228	FALSE	None
GNPDA1	0.501121793568602	0.448291450387107	0.782704652224925	-0.0528303431814952	0.93319569163822	FALSE	None
PRKCZ	-0.00250183495044981	-0.0557206790341289	0.310444457705876	-0.0532188440836791	0.722808416620852	FALSE	None
ATG16L2	-0.641324169635572	-0.694852004062353	0.958854470026229	-0.0535278344267812	0.988928256956477	FALSE	None
EPS15	-0.332761556907748	-0.387861299846277	0.687333284348748	-0.055099742938529	0.906175616560489	FALSE	None
SAMD13	0.359957138871016	0.304408533764196	0.75148727461787	-0.0555486051068203	0.924561612042324	FALSE	None
VPS13A	-0.209755339760309	-0.265351919263117	0.877066203034955	-0.0555965795028082	0.977235258481228	FALSE	None
DOCK4	-0.0529313603961644	-0.10915089863369	0.798446530473077	-0.0562195382375255	0.94015555210284	FALSE	None
FBXO32	0.828508074720244	0.772035258156627	0.782704652224925	-0.056472816563617	0.93319569163822	FALSE	None
RNF157	-0.581345702333015	-0.638861045229622	0.934168014688546	-0.0575153428966068	0.987839347747934	FALSE	None
FAM126B	0.215032197200063	0.157247276258157	0.909697266014176	-0.0577849209419067	0.986500758983333	FALSE	None
ARNT2	-0.0683568579895376	-0.126153859575796	0.587992653723386	-0.057797001586258	0.857663043374301	FALSE	None
PRPSAP1	0.429889906866902	0.371503188470467	0.384241116403253	-0.0583867183964354	0.770429344261857	FALSE	None
LMBR1L	-0.864069122128262	-0.924600290821772	0.733548481805587	-0.0605311686935102	0.919284399060393	FALSE	None
GALNTL6	0.166385846627174	0.104839777899978	0.320383948878672	-0.0615460687271962	0.724091195817366	FALSE	None
TTC39B	0.753952272121995	0.690123367239677	0.508960918023615	-0.0638289048823183	0.823142559424824	FALSE	None
RHOT1	-0.144349000504755	-0.2087347489058	0.433243667377365	-0.0643857484010447	0.794387348504707	FALSE	None
KIFC3	0.0183347408690125	-0.0462493926737175	0.736023489685306	-0.0645841335427299	0.919284399060393	FALSE	None
YIPF1	0.185605883593875	0.120558019228836	0.327326448345241	-0.0650478643650398	0.733067964441254	FALSE	None
DNAJC15	0.30555003356559	0.23958017600754	0.115306510260875	-0.0659698575580506	0.501014907260281	FALSE	None
ZNF280D	0.124125155454495	0.0580327546846209	0.95927643725843	-0.0660924007698739	0.988928256956477	FALSE	None
PEA15	-0.026288461295889	-0.0923909167503302	0.82854726186586	-0.0661024554544412	0.952954046115264	FALSE	None
CAB39L	0.423667784858389	0.355887179072628	0.660377400428063	-0.0677806057857612	0.895500782558494	FALSE	None
SOX11	-0.0830449883090661	-0.151931403127524	0.687502253988562	-0.0688864148184583	0.906175616560489	FALSE	None
ITGA9	0.178007000471018	0.108724801097576	0.910554590341991	-0.0692821993734425	0.986500758983333	FALSE	None
MEIS2	0.578944303407551	0.509299988333212	0.362155524599257	-0.0696443150743392	0.756715836496542	FALSE	None
