gene	hap1_time1_n_observed	hap1_time2_n_observed	torin_time1_n_observed	torin_time2_n_observed
OSBPL5	24	24	24	24
OSR1	24	24	24	24
OTUB1	24	24	24	24
OTX1	24	24	24	24
P4HA1	24	24	24	24
PACS1	24	24	24	24
PAFAH1B2	24	24	24	24
PAK2	24	24	24	24
PAK4	24	24	24	24
PAPD5	24	24	24	24
PAPSS1	24	24	24	24
PARP6	24	24	24	24
PARVA	24	24	24	24
PDE8A	24	24	24	24
PDP1	24	24	24	24
PDS5A	24	24	24	24
PEX5	24	24	24	24
PGM2	24	24	24	24
PGRMC1	24	24	24	24
PHACTR2	24	24	24	24
PHF20	24	24	24	24
PHKA1	24	24	24	24
PHLDB1	24	24	24	24
PI4K2A	24	24	24	24
PIEZO1	24	24	24	24
PIK3CB	24	24	24	24
PIP4K2A	24	24	24	24
PITPNA	24	24	24	24
PKN2	24	24	24	24
PLCB1	24	24	24	24
PLCD3	24	24	24	24
PLCG1	24	24	24	24
PLCL1	24	24	24	24
PLEKHB1	24	24	24	24
PLEKHH1	24	24	24	24
PLK2	24	24	24	24
PLOD1	24	24	24	24
PMM1	24	24	24	24
POC1A	24	24	24	24
POGZ	24	24	24	24
PPARGC1A	24	24	24	24
PPFIA1	24	24	24	24
PPIB	24	24	24	24
PPM1E	24	24	24	24
PPP1CA	24	24	24	24
PPP1R3B	24	24	24	24
PPP1R3D	24	24	24	24
PPP1R16A	24	24	24	24
PPP2R5C	24	24	24	24
PPP3CA	24	24	24	24
PPP6R2	24	24	24	24
PREX1	24	24	24	24
PRKAR1A	24	24	24	24
PRKAR2A	24	24	24	24
PRKCA	24	24	24	24
PRKCD	24	24	24	24
PRKCE	24	24	24	24
PRKCI	24	24	24	24
PRPF40A	24	24	24	24
PRPSAP1	24	24	24	24
PRRX1	24	24	24	24
PSEN1	24	24	24	24
PTCH1	24	24	24	24
PTGS1	24	24	24	24
PTK2	24	24	24	24
PTPN1	24	24	24	24
PTPRG	24	24	24	24
PUM1	24	24	24	24
PWWP2A	24	24	24	24
PXN	24	24	24	24
QPCT	24	24	24	24
QSOX1	24	24	24	24
R3HCC1	24	24	24	24
RAB1A	24	24	24	24
RAB4A	24	24	24	24
RAB9A	24	24	24	24
RAB11A	24	24	24	24
RAB22A	24	24	24	24
RAB26	24	24	24	24
RAB33A	24	24	24	24
RAB34	24	24	24	24
RAB39A	24	24	24	24
RABEP1	24	24	24	24
RABGAP1	24	24	24	24
RAC1	24	24	24	24
RAD9A	24	24	24	24
RAD23A	24	24	24	24
RALGAPA1	24	24	24	24
RALGPS1	24	24	24	24
RANBP10	24	24	24	24
RARA	24	24	24	24
RASA2	24	24	24	24
RASSF7	24	24	24	24
RBBP4	24	24	24	24
RBL1	24	24	24	24
RBM12	24	24	24	24
RBM15	24	24	24	24
RBM23	24	24	24	24
RBM26	24	24	24	24
RBMS1	24	24	24	24
RC3H1	24	24	24	24
REEP5	24	24	24	24
RFX5	24	24	24	24
RGMA	24	24	24	24
RHBDF1	24	24	24	24
RHOBTB1	24	24	24	24
RHOT1	24	24	24	24
RHOU	24	24	24	24
RIC8A	24	24	24	24
RNF13	24	24	24	24
RNF43	24	24	24	24
RNF115	24	24	24	24
RNFT1	24	24	24	24
ROCK1	24	24	24	24
ROR1	24	24	24	24
ZNF608	24	24	24	24
RPS6KA4	24	24	24	24
RPS6KC1	24	24	24	24
RYBP	24	24	24	24
SAMD1	24	24	24	24
SAMD4A	24	24	24	24
SAP30	24	24	24	24
SAR1A	24	24	24	24
SCAF4	24	24	24	24
SEC11A	24	24	24	24
SEC23A	24	24	24	24
SEC24A	24	24	24	24
SEC24C	24	24	24	24
SEC31A	24	24	24	24
SEC61A1	24	24	24	24
SENP3	24	24	24	24
SERINC2	24	24	24	24
SERP1	24	24	24	24
SESN1	24	24	24	24
SETD1A	24	24	24	24
SFXN1	24	24	24	24
SFXN4	24	24	24	24
SGMS1	24	24	24	24
SGSM1	24	24	24	24
SGTA	24	24	24	24
SIN3A	24	24	24	24
SIX1	24	24	24	24
SIX4	24	24	24	24
SLC9A3	24	24	24	24
SLC9A3R1	24	24	24	24
SLC12A4	24	24	24	24
SLC24A1	24	24	24	24
SLC25A12	24	24	24	24
SLC25A14	24	24	24	24
SLC25A28	24	24	24	24
SLC25A33	24	24	24	24
SLC29A1	24	24	24	24
SLC35D1	24	24	24	24
SLC41A2	24	24	24	24
SLC44A1	24	24	24	24
SLK	24	24	24	24
SMAD6	24	24	24	24
SMARCD1	24	24	24	24
MIEF1	24	24	24	24
SMTN	24	24	24	24
SMURF1	24	24	24	24
SNAP23	24	24	24	24
SNX12	24	24	24	24
SOCS4	24	24	24	24
SORBS1	24	24	24	24
SOS1	24	24	24	24
SOX5	24	24	24	24
SOX11	24	24	24	24
SP1	24	24	24	24
SPARC	24	24	24	24
SPATA2	24	24	24	24
SPATA6	24	24	24	24
SPECC1	24	24	24	24
SPIRE1	24	24	24	24
SPOP	24	24	24	24
SPSB1	24	24	24	24
SPTLC2	24	24	24	24
SREK1	24	24	24	24
SS18	24	24	24	24
SSH1	24	24	24	24
ST8SIA2	24	24	24	24
STAM	24	24	24	24
STAU1	24	24	24	24
STK3	24	24	24	24
STK38	24	24	24	24
STOX1	24	24	24	24
STRADA	24	24	24	24
STRIP1	24	24	24	24
STX1A	24	24	24	24
STX12	24	24	24	24
SULF1	24	24	24	24
SUN1	24	24	24	24
SYCP2	24	24	24	24
SYDE1	24	24	24	24
TAF4	24	24	24	24
TANC1	24	24	24	24
TBC1D1	24	24	24	24
TBC1D9	24	24	24	24
TBC1D10A	24	24	24	24
TBC1D15	24	24	24	24
TBX2	24	24	24	24
TCP11L1	24	24	24	24
TET1	24	24	24	24
THRA	24	24	24	24
TIA1	24	24	24	24
TIAM1	24	24	24	24
TIMP3	24	24	24	24
TJP2	24	24	24	24
TLK1	24	24	24	24
TLN1	24	24	24	24
TSPAN6	24	24	24	24
TMC5	24	24	24	24
TMC7	24	24	24	24
TMEM50A	24	24	24	24
TMEM59	24	24	24	24
TMEM184A	24	24	24	24
TMUB1	24	24	24	24
TMX1	24	24	24	24
TNK1	24	24	24	24
TNKS	24	24	24	24
TNPO1	24	24	24	24
TOB1	24	24	24	24
TOX	24	24	24	24
TP53INP1	24	24	24	24
TPM1	24	24	24	24
