gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	time1_residual_logFC	time1_fdr	time1_significant	time1_response
SMG6	-1.95030709107537	-0.145362175345826	3.50701842061425e-06	1.80494491572954	0.000494064504164717	TRUE	Suppressor
RFWD3	-2.36985509092809	-0.57115578840405	2.44975551439966e-07	1.79869930252404	6.32717410358002e-05	TRUE	Suppressor
COA7	-4.13068251447334	-2.33251348767794	0.000822994988412857	1.79816902679539	0.0229448830857194	FALSE	None
REXO2	-3.54959626693006	-1.75383511279581	0.00338878745145865	1.79576115413425	0.0583498994882639	FALSE	None
SMAD4	-1.5489977620653	0.237250138145139	8.97899863277855e-05	1.78624790021044	0.00444078347274335	TRUE	Suppressor
MTO1	-2.10727716756942	-0.333314787746602	8.97899863277855e-05	1.77396237982282	0.00444078347274335	TRUE	Suppressor
PITRM1	-2.46616056525478	-0.704141263539866	0.000901068629373615	1.76201930171491	0.024170844746696	FALSE	None
NDUFS3	-4.1880119270817	-2.43750028417964	0.00570350789517522	1.75051164290205	0.0831210288547636	FALSE	None
DLD	-4.51249506557016	-2.79594382687051	0.00534891491222996	1.71655123869966	0.0812650504148924	FALSE	None
MTIF2	-4.27755980664167	-2.56177080343062	0.00239727563914907	1.71578900321105	0.0451211920907046	FALSE	None
PHF12	0.229307443186519	1.93587705538108	0.00173653870701848	1.70656961219456	0.0366962202224041	FALSE	None
EMSY	1.10323312164888	2.80721896557267	6.54987263850015e-06	1.70398584392379	0.00076125894740968	TRUE	Suppressor
SLC25A19	-4.12458337206063	-2.42204358487238	0.00320285384466904	1.70253978718825	0.055765961762017	FALSE	None
TMEM126B	-2.46257983748628	-0.767029646970104	0.00618409526854359	1.69555019051618	0.0890229609972143	FALSE	None
SOX4	0.450483198210022	2.13657109221076	2.5142227647786e-06	1.68608789400074	0.000377052310756636	TRUE	Suppressor
EIF2AK4	-1.85560771047962	-0.175207951021395	0.000722649739339491	1.68039975945822	0.0216748299238019	FALSE	None
CHD8	-1.24182444678154	0.437589479903677	0.000722649739339491	1.67941392668522	0.0216748299238019	FALSE	None
MRPL20	-5.1168158762286	-3.44125068296331	0.010225810929282	1.67556519326528	0.119446721131236	FALSE	None
METTL17	-3.87942833130431	-2.20759140183012	0.0675363855912721	1.67183692947419	0.352151335819329	FALSE	None
CHTF18	-3.4951233020388	-1.82636222724213	0.0213188870169981	1.66876107479667	0.17730144139897	FALSE	None
PPAT	-2.76601093314353	-1.10931121864965	0.00229621943417628	1.65669971449388	0.0435883003861238	FALSE	None
MRM2	-4.64451879324929	-2.990362457201	0.001202981974184	1.65415633604829	0.0288256722318002	FALSE	None
POLR1E	-4.31147731434721	-2.65942813090934	0.000215062747264139	1.65204918343786	0.00854552745325625	TRUE	Suppressor
ATM	-2.52153546282806	-0.882109051094686	4.40440254588908e-05	1.63942641173337	0.00246699607660703	TRUE	Suppressor
KDM5A	0.575092149706811	2.19753877881744	2.57869001515754e-08	1.62244662911063	1.71261855435249e-05	TRUE	Suppressor
NPM1	-1.56118122336686	0.057207323232692	0.0049396225519851	1.61838854659956	0.0752928040792745	FALSE	None
NADK	-2.26789956811235	-0.652850809974926	0.0143859803978143	1.61504875813742	0.1418059496509	FALSE	None
LARS2	-4.13592085701057	-2.52446849253651	0.0113644281563468	1.61145236447406	0.124320797296958	FALSE	None
ZNF592	-0.655850004458213	0.946804229894189	0.0152352992106292	1.6026542343524	0.14725344289026	FALSE	None
KEAP1	-0.959729396107795	0.625489139598338	0.0031553753566973	1.58521853570613	0.0551478948619764	FALSE	None
COX15	-3.38182567173501	-1.80435252945185	0.00322672482555014	1.57747314228315	0.055765961762017	FALSE	None
NADK2	-1.92045928062189	-0.360382632888194	0.00199846831297492	1.56007664773369	0.0392020218861621	FALSE	None
XRN1	-1.63926196856643	-0.0813152244069852	2.65476137060469e-05	1.55794674415945	0.00173830783266777	TRUE	Suppressor
COX4I1	-3.93868994531023	-2.38614838024384	0.00869942410950301	1.55254156506638	0.106151240643253	FALSE	None
LSM5	-4.75568207048748	-3.21031276753256	0.0128017268367671	1.54536930295492	0.133442215390427	FALSE	None
NHLRC2	-1.36792748690648	0.175949940138989	0.000112534032261475	1.54387742704547	0.00507932733964658	TRUE	Suppressor
PIK3R4	-2.46840057533492	-0.925154977097589	0.012513937145424	1.54324559823733	0.133442215390427	FALSE	None
GOT2	-3.0937402551849	-1.55829118367612	0.0200527268218804	1.53544907150877	0.174252573822284	FALSE	None
SMG7	-3.85568442932447	-2.32384838973246	0.0341572215275278	1.53183603959201	0.241841562306499	FALSE	None
TOE1	-3.32598168538022	-1.80370131504128	0.00196295041333822	1.52228037033895	0.0387783799757285	FALSE	None
COX6C	-4.49542546813321	-2.99011379167714	0.00448928766315853	1.50531167645607	0.0714749943356986	FALSE	None
RARS2	-4.30619213651744	-2.80348087466246	0.0185537262328588	1.50271126185498	0.162135851986016	FALSE	None
DIS3	-2.0771080170516	-0.586399037231046	0.00656805240310701	1.49070897982055	0.0890229609972143	FALSE	None
FANCD2	-1.95490846353194	-0.467890826332081	0.00196295041333822	1.48701763719986	0.0387783799757285	FALSE	None
EDC4	-1.50721569464088	-0.0676604943313417	4.40440254588908e-05	1.43955520030954	0.00246699607660703	TRUE	Suppressor
MPHOSPH6	-1.03792828194074	0.392379422755	0.00166521486418813	1.43030770469574	0.0353496981900029	FALSE	None
MED24	-0.797054308198476	0.62865284718494	0.00952347529031665	1.42570715538342	0.115298532876776	FALSE	None
FZR1	-0.11373001925055	1.31078198194071	3.43223641017469e-05	1.42451200119126	0.00201980595834204	TRUE	Suppressor
WDR4	-2.71553716831041	-1.29993637663417	0.0678732279668645	1.41560079167624	0.352561605383188	FALSE	None
ATP5L	-2.2717249994252	-0.859316108655808	0.0036743109353476	1.41240889076939	0.0614634208321231	FALSE	None
ATP5J	-3.06495977008135	-1.66972668606456	0.0113918390295772	1.39523308401679	0.124320797296958	FALSE	None
CMIP	-0.339045382454656	1.05455410300443	2.5142227647786e-06	1.39359948545908	0.000377052310756636	TRUE	Suppressor
OGDH	-4.71250980543317	-3.32208762092628	0.00656805240310701	1.39042218450689	0.0890229609972143	FALSE	None
DNASE2	-1.31598363693978	0.066447307199924	0.000695550057788443	1.3824309441397	0.0212737645964373	FALSE	None
YME1L1	-1.21438589770313	0.166670616142361	0.00196295041333822	1.38105651384549	0.0387783799757285	FALSE	None
TAZ	-2.17703380922236	-0.798857013743786	0.00570350789517522	1.37817679547857	0.0831210288547636	FALSE	None
ERAL1	-3.93422588747643	-2.55633674665331	0.0992120279252301	1.37788914082312	0.425102965736769	FALSE	None
MYH9	1.26561341205444	2.63283502306974	0.000112534032261475	1.3672216110153	0.00507932733964658	TRUE	Suppressor
PSMG2	-2.93309334970359	-1.57293082206653	0.00185673391498167	1.36016252763707	0.0387783799757285	FALSE	None
