gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	hap1_time2_observed_logFC	torin_time2_observed_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_significant	time2_significant	time1_response	time2_response
SC5D	0.779341851123879	0.764769427403896	0.80633377841523	0.833537620094603	0.850412185784335	0.870194456435353	-0.0145724237199828	0.0168745656897312	0.962178063617147	0.961848318584868	FALSE	FALSE	None	None
ATXN7L3	-1.51534360780341	-0.459421458175866	0.0453338990979227	-2.12598382768093	0.025257195010452	0.00368677987890829	1.05592214962754	2.15124102269138	0.279518961414115	0.0504112931089548	FALSE	FALSE	None	None
TTC19	-0.105272206370467	-0.373701765313357	0.623594278712037	0.0419467083882526	-0.488637323373741	0.115978749531323	-0.26842955894289	-0.530584031761993	0.905399688236184	0.381319099413806	FALSE	FALSE	None	None
RCC1L	-5.34079813920425	-5.31045620900895	0.70679891532515	-5.83141661310285	-4.95400518890421	0.0791896681553156	0.0303419301953003	0.877411424198639	0.933420125325645	0.313588387780291	FALSE	FALSE	None	None
PAPOLA	-0.1447089578275	-0.40803645568705	0.0814293446671917	0.028576019070063	-0.73828137448444	0.0742044999172241	-0.26332749785955	-0.766857393554503	0.386685417117236	0.297270147741019	FALSE	FALSE	None	None
ERI3	-0.678445988476529	-1.3594268011188	0.198106190094107	-1.23294864861739	-1.70099667306891	0.405215043839535	-0.680980812642275	-0.46804802445152	0.581642493512966	0.730080819339266	FALSE	FALSE	None	None
UTP20	-3.17900947132743	-3.35001084043018	0.753630596135949	-3.34604195360163	-3.09171101891578	0.489841555504572	-0.171001369102751	0.25433093468585	0.949795234459655	0.788802698836425	FALSE	FALSE	None	None
E2F3	0.372576203372521	0.700050160312036	0.187268401403014	0.266147524229665	0.702389504084633	0.187268401403014	0.327473956939515	0.436241979854968	0.569771464739928	0.495134381180708	FALSE	FALSE	None	None
INTS8	-3.62628810528466	-4.06527012607245	0.78261747417973	-4.38707165679793	-3.99803477584721	0.7031964140719	-0.438982020787791	0.389036880950725	0.962178063617147	0.906364469519104	FALSE	FALSE	None	None
GCLC	-0.162390182276589	-0.563175018261573	0.040839912860907	-0.712305466409886	-1.58023396745961	0.0036743109353476	-0.400784835984984	-0.867928501049724	0.26333530497969	0.0504112931089548	FALSE	FALSE	None	None
OBSL1	0.230556357288725	-0.355109411718364	0.245379956356736	0.0971472061624473	-0.198406315988053	0.933842350433672	-0.585665769007089	-0.2955535221505	0.640279662519825	0.981547108059178	FALSE	FALSE	None	None
SRPRB	-3.18807079316385	-3.88885305956442	0.106445693561888	-3.37521451309701	-4.61241758598509	0.0164317222193857	-0.700782266400568	-1.23720307288808	0.436774959725698	0.124822020584843	FALSE	FALSE	None	None
ME1	0.423790783456907	0.0596173670498605	0.0742044999172241	0.327605707615	-0.146105552236224	0.00864180912639655	-0.364173416407046	-0.473711259851224	0.366996510760824	0.0851181581114779	FALSE	FALSE	None	None
NKRF	0.597919089489502	0.363743703003695	0.267097024243296	0.622759153741305	0.544325003138369	0.712965124764759	-0.234175386485807	-0.0784341506029359	0.657002151167769	0.906364469519104	FALSE	FALSE	None	None
HGS	-1.05519433743721	-1.61790667956861	0.383149914113265	-1.63571824645401	-2.13820387815369	0.802687099754595	-0.5627123421314	-0.502485631699679	0.757132052628987	0.944957331951703	FALSE	FALSE	None	None
BAX	0.785701227209221	0.665593456975988	1	0.484865511631404	0.759588827015031	1	-0.120107770233233	0.274723315383628	1	1	FALSE	FALSE	None	None
DPM1	-1.2842860440499	-0.499689573646444	0.0612792417000994	-3.3350833273151	-1.02334170169363	0.000419970667025509	0.784596470403452	2.31174162562147	0.333201397267558	0.0129300902715337	FALSE	FALSE	None	None
GAPVD1	0.488971685005555	0.310520357755709	0.902462275054423	0.603742289622207	0.312578909045084	0.324548174828994	-0.178451327249846	-0.291163380577123	0.989515829416984	0.648120474561853	FALSE	FALSE	None	None
RECQL4	-0.156931181546318	0.524611057133617	0.115978749531323	-0.745785208613226	-0.209925770631919	0.412375778055245	0.681542238679935	0.535859437981306	0.452716378313284	0.730894011505464	FALSE	FALSE	None	None
ITSN1	0.532393684145711	-0.402410722563336	0.0367175416419757	0.613173606748898	-0.559566124083182	0.0234961466635103	-0.934804406709047	-1.17273973083208	0.248833602177179	0.155382056669502	FALSE	FALSE	None	None
USP33	-0.38613788591864	-0.719631128287446	0.0555296397209032	-0.802694909104146	-0.765791779229954	0.486364763954452	-0.333493242368806	0.0369031298741915	0.314059969662383	0.784018650355148	FALSE	FALSE	None	None
ANKRD10	0.234655708353169	0.30837815086953	0.64747182866657	0.208977429562342	0.493749068524057	0.851360938546326	0.0737224425163613	0.284771638961715	0.91476575388498	0.961302341165387	FALSE	FALSE	None	None
STAT3	-0.170053713745488	-0.193943577038436	0.967417297543179	-0.362179919332213	-0.686199075793557	0.160685472537209	-0.0238898632929481	-0.324019156461344	0.998118734194016	0.455504123064321	FALSE	FALSE	None	None
DDI2	-0.14318458726804	-1.47715794431886	0.000669975274440731	-0.820272124036206	-2.57495025581659	0.00160033604585116	-1.33397335705082	-1.75467813178039	0.0211885377610541	0.0305991458640736	FALSE	FALSE	None	None
SMARCE1	-1.22714820404377	-2.74227706137179	5.61896554302828e-05	-2.30171439927353	-4.36249516348628	0.00414679093427385	-1.51512885732802	-2.06078076421275	0.00295788197814145	0.0546377216370393	TRUE	FALSE	Sensitizer	None
ATF7IP	-0.346925304724325	0.887162963534565	1.28934500757877e-08	-1.13936075378884	1.42673048824538	5.15738003031508e-08	1.23408826825889	2.56609124203422	9.9902749003895e-06	1.59844398406232e-05	TRUE	TRUE	Suppressor	Suppressor
WAPL	-4.18865680226514	-3.62620817116997	0.755656662945252	-4.49946386352254	-3.74910829969592	0.329584311367642	0.562448631095166	0.750355563826615	0.949795234459655	0.653512856611044	FALSE	FALSE	None	None
MAP4K5	0.272837703073498	-0.0347615213586825	0.115978749531323	0.15896275258761	-0.757828741001594	0.0502223733334571	-0.307599224432181	-0.916791493589203	0.452716378313284	0.244229930572429	FALSE	FALSE	None	None
