gene1	gene2	time1_n_observed	time2_n_observed	n_expected_gene1_cas9	n_expected_gene2_cpf1
CRELD2	CRELD1	15	15	3	5
CRELD1	CRELD2	15	15	3	5
CSAD	GADL1	15	15	3	5
GADL1	CSAD	15	15	3	5
CSNK1D	CSNK1E	15	15	3	5
CSNK1E	CSNK1D	15	15	3	5
CSNK2A1	CSNK2A2	10	10	2	5
CSNK2A2	CSNK2A1	15	15	3	5
CTBP1	CTBP2	15	15	3	5
CTBP2	CTBP1	9	9	3	3
RAVER1	RAVER2	15	15	3	5
RAVER2	RAVER1	15	15	3	5
CTPS1	CTPS2	15	15	15	5
CTPS2	CTPS1	15	15	3	5
CUL4A	CUL4B	15	15	3	5
CUL4B	CUL4A	15	15	3	5
CUX1	CUX2	15	15	3	5
CUX2	CUX1	15	15	3	5
CYB5B	CYB5A	15	15	3	5
CYB5A	CYB5B	15	15	3	5
DAAM1	DAAM2	15	15	3	5
DAAM2	DAAM1	15	15	3	5
DAB2	DAB1	15	15	3	5
DAB1	DAB2	15	15	3	5
DACH1	DACH2	15	15	3	5
DACH2	DACH1	15	15	3	5
DCHS1	DCHS2	15	15	3	5
DCHS2	DCHS1	15	15	3	5
DDHD2	SEC23IP	15	15	3	5
SEC23IP	DDHD2	15	15	3	5
DDR1	DDR2	15	15	3	5
DDR2	DDR1	15	15	3	5
DENND6A	DENND6B	15	15	3	5
DENND6B	DENND6A	15	15	3	5
DERL2	DERL3	6	6	3	2
DERL3	DERL2	15	15	3	5
DHX32	DQX1	15	15	3	5
DQX1	DHX32	15	15	3	5
IFIH1	DHX58	15	15	3	5
DHX58	IFIH1	15	15	3	5
DIP2A	DIP2C	15	15	3	5
DIP2C	DIP2A	15	15	3	5
DLG1	DLG4	15	15	3	5
DLG4	DLG1	15	15	3	5
DLG3	DLG2	15	15	3	5
DLG2	DLG3	15	15	3	5
DMRTA1	DMRTA2	15	15	3	5
DMRTA2	DMRTA1	15	15	3	5
DNAH11	DNAH17	15	15	3	5
DNAH17	DNAH11	15	15	3	5
DNAJA1	DNAJA4	10	10	2	5
DNAJA4	DNAJA1	15	15	3	5
DNAJC19	DNAJC15	5	5	1	5
DNAJC15	DNAJC19	15	15	3	5
DOCK4	DOCK3	15	15	3	5
DOCK3	DOCK4	15	15	3	5
DOK1	DOK3	15	15	3	5
DOK3	DOK1	15	15	3	5
DOPEY1	DOPEY2	15	15	3	5
DOPEY2	DOPEY1	15	15	3	5
MACF1	DST	15	15	3	5
DST	MACF1	15	15	3	5
DUSP22	DUSP15	15	15	3	5
DUSP15	DUSP22	15	15	3	5
DUSP16	DUSP8	3	3	3	1
DUSP8	DUSP16	15	15	3	5
DVL1	DVL3	15	15	3	5
DVL3	DVL1	15	15	3	5
DYNLL1	DYNLL2	15	15	3	5
DYNLL2	DYNLL1	9	9	3	3
DYRK2	DYRK3	15	15	3	5
DYRK3	DYRK2	15	15	3	5
E2F7	E2F8	15	15	3	5
E2F8	E2F7	15	15	3	5
EBF3	EBF1	15	15	3	5
EBF1	EBF3	15	15	3	5
EEF1A1	EEF1A2	15	15	3	5
EEF1A2	EEF1A1	15	15	3	5
EFHD2	EFHD1	15	15	3	5
EFHD1	EFHD2	12	12	3	4
EGR2	EGR3	15	15	3	5
EGR3	EGR2	15	15	3	5
EHBP1	EHBP1L1	15	15	3	5
EHBP1L1	EHBP1	15	15	3	5
EIF1	EIF1B	15	15	3	5
EIF1B	EIF1	12	12	3	4
EIF4A1	EIF4A2	15	15	3	5
EIF4A2	EIF4A1	15	15	3	5
EIF4EBP1	EIF4EBP2	12	12	3	4
EIF4EBP2	EIF4EBP1	6	6	3	2
EIF4G1	EIF4G3	15	15	3	5
EIF4G3	EIF4G1	15	15	3	5
ELAVL1	ELAVL2	15	15	3	5
ELAVL2	ELAVL1	15	15	3	5
ELK3	ELK4	15	15	3	5
ELK4	ELK3	15	15	3	5
ELMO2	ELMO3	15	15	3	5
ELMO3	ELMO2	15	15	3	5
ELMOD2	ELMOD1	15	15	3	5
ELMOD1	ELMOD2	15	15	3	5
ELOVL1	ELOVL7	15	15	3	5
ELOVL7	ELOVL1	15	15	3	5
EMC8	EMC9	15	15	3	5
EMC9	EMC8	15	15	3	5
EME1	EME2	12	12	3	4
EME2	EME1	15	15	3	5
EMX1	EMX2	15	15	3	5
EMX2	EMX1	15	15	3	5
EN2	EN1	15	15	3	5
EN1	EN2	12	12	3	4
ENOX2	ENOX1	15	15	3	5
ENOX1	ENOX2	15	15	3	5
ENTPD6	ENTPD5	15	15	3	5
ENTPD5	ENTPD6	15	15	3	5
SRCAP	EP400	15	15	3	5
EP400	SRCAP	15	15	3	5
EPC1	EPC2	15	15	3	5
EPC2	EPC1	15	15	3	5
EPS15	EPS15L1	15	15	3	5
EPS15L1	EPS15	15	15	3	5
ERC1	ERC2	15	15	3	5
ERC2	ERC1	15	15	3	5
ERLIN1	ERLIN2	15	15	3	5
ERLIN2	ERLIN1	15	15	3	5
ESRP2	ESRP1	15	15	3	5
ESRP1	ESRP2	15	15	3	5
ESYT2	ESYT3	15	15	3	5
ESYT3	ESYT2	15	15	3	5
ETS2	ETS1	15	15	3	5
ETS1	ETS2	15	15	3	5
ETV1	ETV4	15	15	3	5
ETV4	ETV1	15	15	3	5
EXOC6	EXOC6B	15	15	3	5
EXOC6B	EXOC6	15	15	3	5
EXT1	EXTL1	15	15	3	5
EXTL1	EXT1	15	15	3	5
FAM49B	FAM49A	15	15	3	5
FAM49A	FAM49B	15	15	3	5
FAM78A	FAM78B	15	15	3	5
FAM78B	FAM78A	15	15	3	5
UBALD1	UBALD2	9	9	3	3
UBALD2	UBALD1	15	15	3	5
FAM102A	FAM102B	15	15	3	5
FAM102B	FAM102A	15	15	3	5
FAM117B	FAM117A	15	15	3	5
FAM117A	FAM117B	15	15	3	5
MVB12B	MVB12A	15	15	3	5
MVB12A	MVB12B	15	15	3	5
FAM126A	FAM126B	15	15	3	5
FAM126B	FAM126A	15	15	3	5
FAM160A2	FAM160A1	15	15	3	5
FAM160A1	FAM160A2	15	15	3	5
FAM160B2	FAM160B1	15	15	3	5
FAM160B1	FAM160B2	15	15	3	5
FAM161B	FAM161A	15	15	3	5
FAM161A	FAM161B	15	15	3	5
FARP1	FARP2	15	15	3	5
FARP2	FARP1	15	15	3	5
ZYX	FBLIM1	15	15	3	5
FBLIM1	ZYX	15	15	3	5
FBN1	FBN2	15	15	3	5
FBN2	FBN1	15	15	3	5
FBXO25	FBXO32	15	15	3	5
FBXO32	FBXO25	15	15	3	5
FEM1C	FEM1A	3	3	3	1
FEM1A	FEM1C	15	15	3	5
FER	FES	15	15	3	5
FES	FER	15	15	3	5
FGF2	FGF1	15	15	3	5
FGF1	FGF2	15	15	3	5
FHOD1	FHOD3	15	15	3	5
FHOD3	FHOD1	15	15	3	5
FLNB	FLNC	15	15	3	5
FLNC	FLNB	15	15	3	5
FMN2	FMN1	15	15	3	5
FMN1	FMN2	15	15	3	5
FNDC3A	FNDC3B	15	15	3	5
FNDC3B	FNDC3A	15	15	3	5
FOXF2	FOXF1	15	15	3	5
FOXF1	FOXF2	15	15	3	5
FOXK2	FOXK1	15	15	3	5
FOXK1	FOXK2	15	15	3	5
FOXN3	FOXN2	15	15	3	5
FOXN2	FOXN3	15	15	3	5
FSCN1	FSCN2	15	15	3	5
FSCN2	FSCN1	12	12	3	4
FSTL3	FST	15	15	3	5
FST	FSTL3	3	3	3	1
FUBP1	FUBP3	15	15	3	5
FUBP3	FUBP1	15	15	3	5
FUCA2	FUCA1	15	15	3	5
FUCA1	FUCA2	15	15	3	5
FUNDC2	FUNDC1	15	15	3	5
FUNDC1	FUNDC2	10	10	2	5
GALNT10	GALNTL6	15	15	3	5
GALNTL6	GALNT10	15	15	3	5
GATAD2A	GATAD2B	15	15	3	5
GATAD2B	GATAD2A	15	15	3	5
GDPD1	GDPD3	15	15	3	5
GDPD3	GDPD1	15	15	3	5
GFOD2	GFOD1	12	12	3	4
GFOD1	GFOD2	15	15	3	5
GLIS3	GLIS1	15	15	3	5
GLIS1	GLIS3	15	15	3	5
GMFB	GMFG	15	15	3	5
GMFG	GMFB	15	15	3	5
GNA11	GNAQ	15	15	3	5
GNAQ	GNA11	6	6	3	2
GNA12	GNA13	15	15	3	5
GNA13	GNA12	15	15	3	5
GNAS	GNAL	15	15	3	5
GNAL	GNAS	15	15	3	5
GNB1	GNB4	15	15	3	5
GNB4	GNB1	15	15	3	5
GNL3	GNL3L	15	15	15	5
GNL3L	GNL3	15	15	3	5
GNPDA1	GNPDA2	15	15	3	5
GNPDA2	GNPDA1	15	15	3	5
GOLGA7	GOLGA7B	15	15	3	5
GOLGA7B	GOLGA7	15	15	3	5
GPATCH2L	GPATCH2	15	15	3	5
GPATCH2	GPATCH2L	15	15	3	5
GPC1	GPC6	15	15	3	5
GPC6	GPC1	12	12	3	4
GPR137	GPR137C	15	15	3	5
GPR137C	GPR137	15	15	3	5
GPSM2	GPSM1	15	15	3	5
GPSM1	GPSM2	15	15	3	5
GREB1L	GREB1	15	15	3	5
GREB1	GREB1L	15	15	3	5
GRPEL1	GRPEL2	15	15	15	5
GRPEL2	GRPEL1	15	15	3	5
H2AFY	H2AFY2	15	15	3	5
H2AFY2	H2AFY	15	15	3	5
