gene1	gene2	time1_expected_logFC1	time1_expected_logFC2	time1_observed_logFC1	time1_observed_logFC2	time1_fdr1	time1_fdr2	time1_gi1	time1_gi2	time2_expected_logFC1	time2_expected_logFC2	time2_observed_logFC1	time2_observed_logFC2	time2_fdr1	time2_fdr2	time2_gi1	time2_gi2	time1_mean_expected_logFC	time1_mean_observed_logFC	time2_mean_expected_logFC	time2_mean_observed_logFC	time1_both_gi	time2_both_gi
SRRM1	SRRM2	-1.99809188621521	-2.59735455506948	-2.93468367345677	-2.30151390205623	0.150770629454817	0.626623850890407	FALSE	FALSE	-3.15816829303839	-3.40751904696353	-3.42953872973051	-2.79289161878675	0.588009399589655	0.648486351939269	FALSE	FALSE	-2.29772322064234	-2.6180987877565	-3.28284367000096	-3.11121517425863	FALSE	FALSE
TRA2A	TRA2B	0.652321664088648	0.305894597100864	-1.05718276349397	-1.11619001419637	0.000350755952278137	0.104066148327052	TRUE	FALSE	-0.231588297907711	0.237832414056596	-1.46289274768778	-1.44815527659112	0.143321980662134	0.0577425151641135	FALSE	TRUE	0.479108130594756	-1.08668638884517	0.0031220580744425	-1.45552401213945	FALSE	FALSE
PAIP1	PAIP2	-0.647309893128267	-0.182093576174799	-0.57489431945231	-0.111018092837499	1	0.914036314545836	FALSE	FALSE	-0.684983528200875	-0.571132861617619	-0.939683293109816	-0.22527123453653	0.785270246370965	0.605786329238453	FALSE	FALSE	-0.414701734651533	-0.342956206144904	-0.628058194909247	-0.582477263823173	FALSE	FALSE
EIF4E	EIF4E2	-0.747460090253416	-3.16441208665113	-1.04806784479822	-1.20776685208249	0.955014690199725	0.014029353491177	FALSE	TRUE	-1.30267150437702	-2.97761145843565	-0.983883248665152	-1.5435701074163	0.605786329238453	0.107929645182814	FALSE	FALSE	-1.95593608845227	-1.12791734844035	-2.14014148140634	-1.26372667804073	FALSE	FALSE
ENO1	ENO2	-0.877788396081911	-0.420784148359793	-1.55836559244684	-1.64749488854523	0.0306759407883003	0.00251185813979572	TRUE	TRUE	-1.09373416960772	-1.14742826573301	-2.0597116205311	-2.20096439781283	0.0666160636846429	0.0405827709589341	TRUE	TRUE	-0.649286272220852	-1.60293024049604	-1.12058121767036	-2.13033800917197	TRUE	TRUE
ENO1	ENO3	-1.12402185028854	-0.810705224081892	-0.752762265186277	-0.708247540805642	0.539030894738093	0.960778541538264	FALSE	FALSE	-1.6260158008679	-1.28489277742319	-1.21628988388193	-1.16677754748791	0.395582465231556	0.9964595947781	FALSE	FALSE	-0.967363537185216	-0.730504902995959	-1.45545428914554	-1.19153371568492	FALSE	FALSE
ENO2	ENO3	0.35571946993894	0.212031848423469	-0.315516976588642	-0.662662734460457	0.118221382514625	0.0217154013786949	FALSE	TRUE	-0.0422705382194478	0.352546581350543	-0.536761197402357	-0.753669919172621	0.315411141528103	0.0626964416768225	FALSE	TRUE	0.283875659181204	-0.489089855524549	0.155138021565548	-0.645215558287489	FALSE	FALSE
CREBBP	EP300	1.0544926584383	0.143221261961404	0.463606265359761	0.103232731664118	0.648144504358032	0.829282043725567	FALSE	FALSE	1.24599161761804	-0.330694731177189	0.531776010105883	-0.0283298218845568	0.504608235666323	0.785270246370965	FALSE	FALSE	0.598856960199852	0.283419498511939	0.457648443220425	0.251723094110663	FALSE	FALSE
BCL2L1	BCL2L2	0.528424392093245	-0.747871049454345	-0.748606005505656	-1.28170361212664	0.0395108841821797	0.378530622286694	TRUE	FALSE	-0.0351089396094702	-1.62562728888496	-0.875512233245214	-1.7312118213999	0.305393823394167	0.945044208884997	FALSE	FALSE	-0.10972332868055	-1.01515480881615	-0.830368114247215	-1.30336202732256	FALSE	FALSE
BCL2L1	MCL1	0.377861218517907	-0.418941142369265	-0.729312850018817	-1.62791495886962	0.0481931684214611	0.0075660143787606	TRUE	TRUE	-0.123146531311696	-0.831008429449553	-1.10007063455884	-1.68831426022863	0.293600695997821	0.102241843882999	FALSE	FALSE	-0.020539961925679	-1.17861390444422	-0.477077480380624	-1.39419244739374	TRUE	FALSE
PARP1	PARP2	0.141325434528693	0.557994171096593	0.175252875378984	-0.247710326092814	0.714275993440846	0.255042669604617	FALSE	FALSE	0.451233674594881	0.385575699638904	0.0320656296072952	-0.398436423936068	0.566157525421547	0.439507842186934	FALSE	FALSE	0.349659802812643	-0.036228725356915	0.418404687116892	-0.183185397164386	FALSE	FALSE
MAPK1	MAPK3	-2.3529714260824	-1.09551824027087	-1.62932547898152	-1.84164720495211	0.185426500954079	0.2400813607159	FALSE	FALSE	-3.75074265896895	-1.53938458810992	-2.08633573733168	-2.18081022229646	0.0115805961937899	0.44548546104094	TRUE	FALSE	-1.72424483317664	-1.73548634196681	-2.64506362353943	-2.13357297981407	FALSE	FALSE
MDM2	TP53	-1.1376541112497	-0.0541968650889216	0.945126603663075	1.60544788241185	0.00788899872816127	0.0294884033731328	TRUE	TRUE	-0.49049879561638	0.512473226803093	1.16027481597847	1.68974019941717	0.0295518288327456	0.147431871987873	TRUE	FALSE	-0.595925488169311	1.27528724303746	0.0109872155933565	1.42500750769782	TRUE	FALSE
