gene1	gene2	time1_observed_logFC	time1_expected_logFC	time1_pval	time2_observed_logFC	time2_expected_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_is_gi	time2_is_gi
SEC23B	SEC23A	-2.02843889576355	1.58193664110288	1.55495007914e-05	-2.34868209576272	1.60699056649986	4.80925687826881e-06	-3.61037553686643	-3.95567266226258	0.00015617600794866	7.43543535336841e-05	TRUE	TRUE
SEC24B	SEC24A	-0.17830564663242	0.315105986935798	0.187268401403014	0.0911782653553504	1.28447457299387	0.00230645771025736	-0.493411633568218	-1.19329630763852	0.299281440569741	0.00933437002739448	FALSE	TRUE
SEC24A	SEC24B	0.360138383000228	1.71235498073828	1.79218956053449e-06	0.438903985273136	2.29523339562822	2.57869001515754e-08	-1.35221659773805	-1.85632941035508	2.77084588235445e-05	1.86751445308251e-06	TRUE	TRUE
SEC24C	SEC24D	-0.873779981160179	-0.0224449057506392	0.0975257598239064	-1.21076044531301	-0.249539250734206	0.0612792417000994	-0.85133507540954	-0.961221194578806	0.179166148888779	0.126988308101411	FALSE	FALSE
SEC24D	SEC24C	-1.19952142865799	-0.0274128226756982	0.00166521486418813	-1.08504787888921	-0.546786373279167	0.173608899884423	-1.17210860598229	-0.53826150561004	0.00624342139815496	0.29061538472137	TRUE	FALSE
SEC31A	SEC31B	-0.364828478871014	1.00557063643989	8.63861155077776e-07	-0.541480492333652	0.332630470540424	0.0164317222193857	-1.37039911531091	-0.874110962874076	1.58489726584936e-05	0.0456768682300498	TRUE	TRUE
SEC31B	SEC31A	-0.1483191911289	0.910858526552521	4.40440254588908e-05	-0.403389593555988	1.05609370540644	0.000140358097525025	-1.05917771768142	-1.45948329896243	0.000338573067214714	0.000965663710972171	TRUE	TRUE
SEC61A1	SEC61A2	-1.38439230346835	-0.6488398302231	0.00230645771025736	-1.37854389538143	-0.740320239895389	0.000996702371208616	-0.735552473245248	-0.638223655486041	0.00811684350208216	0.00477861485290264	TRUE	TRUE
SEC61A2	SEC61A1	-1.850889455021	-0.986266003252574	0.0329436416982427	-2.07117681903125	-1.3234627454459	0.187268401403014	-0.864623451768426	-0.747714073585352	0.0726449534884327	0.307495608986333	TRUE	FALSE
SENP3	SENP5	0.0562704284793046	0.893693455322133	0.216856638760083	-0.0346335271868391	1.33775717510846	0.0674961538838424	-0.837423026842829	-1.3723907022953	0.334523245441564	0.135980538424842	FALSE	FALSE
SENP5	SENP3	0.11035730065314	0.159663072498375	0.594883930583728	-0.00841836209706705	-0.229432526821067	0.267097024243296	-0.0493057718452357	0.221014164724	0.701422697929057	0.401228717640585	FALSE	FALSE
SERINC3	SERINC2	0.00654374347320765	1.25808978400923	0.000394049621216224	-0.0483839633354281	1.77918799565343	2.65476137060469e-05	-1.25154604053602	-1.82757195898886	0.00190919816476593	0.000285386847340004	TRUE	TRUE
SERINC2	SERINC3	0.136349611080087	1.00474200365905	0.00426618476107663	0.0516303939235004	0.644521483702019	0.0164317222193857	-0.86839239257896	-0.592891089778518	0.0134639225487189	0.0456768682300498	TRUE	TRUE
SERP1	SERP2	-0.43739947189699	-0.350259122671298	0.80633377841523	-0.831909841089562	-0.286708575895987	0.0975257598239064	-0.0871403492256919	-0.545201265193575	0.871575238884019	0.182827582449176	FALSE	FALSE
SERP2	SERP1	-0.325571908392064	-0.840777178223499	0.136974224446085	-0.698175730594034	-2.30834899725642	0.000834090178852782	0.515205269831435	1.61017326666239	0.23707739979599	0.00411364905412698	FALSE	TRUE
SESN1	SESN2	0.308949319294752	1.02602615275928	0.0674961538838424	0.554186163954471	1.16709364977502	0.0674961538838424	-0.717076833464528	-0.612907485820545	0.131737174105202	0.135980538424842	FALSE	FALSE
SESN2	SESN1	-0.202587793111163	0.648048139097633	3.50701842061425e-06	-0.276220666509947	1.02282544580011	6.54987263850015e-06	-0.850635932208796	-1.29904611231006	4.6851042201604e-05	9.38815078185022e-05	TRUE	TRUE
SETD1A	SETD1B	-1.95299291824996	-0.786883647005823	0.594883930583728	-2.02148316622954	-1.13460902799497	0.512486352283095	-1.16610927124414	-0.886874138234568	0.701422697929057	0.652945574760684	FALSE	FALSE
SETD1B	SETD1A	-0.802094929923816	0.26127978285242	0.126147401015694	-1.05588796513208	0.0102153180984743	0.0891947730984869	-1.06337471277624	-1.06610328323056	0.221684321580582	0.169285527977266	FALSE	FALSE
SFXN1	SFXN3	-0.338933907788026	0.172001966123107	0.0234961466635103	-0.577289872768929	0.0170610989775577	0.0814293446671917	-0.510935873911133	-0.594350971746487	0.0553607839195038	0.157148356608774	TRUE	FALSE
SFXN3	SFXN1	-0.751275268173352	0.363193727190642	2.57869001515754e-08	-1.30230275103419	-0.231122847599001	5.61896554302828e-05	-1.11446899536399	-1.07117990343519	1.31417683735436e-06	0.000474337213939074	TRUE	TRUE
SFXN4	SFXN5	-0.825332808966537	0.761001853589855	0.00166521486418813	-1.56014154170315	-0.124895696150977	0.040839912860907	-1.58633466255639	-1.43524584555218	0.00624342139815496	0.0930392716831259	TRUE	TRUE
SFXN5	SFXN4	-0.461226802832866	0.838390061258396	3.50701842061425e-06	-0.829260976255651	0.565424629964531	0.000215062747264139	-1.29961686409126	-1.39468560622018	4.6851042201604e-05	0.00138932554101153	TRUE	TRUE
SGMS1	SGMS2	-0.263710013294891	0.7880143347308	2.65476137060469e-05	-0.266113650981511	0.583102913415379	0.000140358097525025	-1.05172434802569	-0.84921656439689	0.000222740954021466	0.000965663710972171	TRUE	TRUE
SGMS2	SGMS1	-0.0873686187794357	-0.0794588200987402	0.967417297543179	-0.340810334588225	0.0697776146884022	0.389233298727313	-0.00790979868069551	-0.410587949276627	0.984590385665247	0.535585019048783	FALSE	FALSE
SGSM2	SGSM1	-0.24979493971295	0.359412645913137	0.00426618476107663	-0.291880446457082	-0.102242946629157	0.594883930583728	-0.609207585626087	-0.189637499827925	0.0134639225487189	0.730857400431437	TRUE	FALSE
SGSM1	SGSM2	-0.11044139511496	0.442528455395311	0.0294964746728803	-0.12925251443239	0.287142427243423	0.774840301727361	-0.552969850510271	-0.416394941675813	0.0662106837681619	0.861211837784208	TRUE	FALSE
SGTA	SGTB	0.0321390903291493	0.313194543194246	0.267097024243296	-0.0522447025941069	0.0926196018690585	0.65287003041307	-0.281055452865097	-0.144864304463165	0.387685132234995	0.775776478280125	FALSE	FALSE
SGTB	SGTA	-0.362750457269164	-0.262535263124471	0.838134776780856	-0.438992185630783	-0.225300184378624	0.902462275054423	-0.100215194144693	-0.213692001252159	0.897489068366115	0.935081393429884	FALSE	FALSE
SIN3A	SIN3B	-1.9034785804326	-1.47723279742429	0.249556194554941	-1.91856407413914	-1.40894073235125	0.173608899884423	-0.42624578300831	-0.50962334178789	0.367261308778181	0.29061538472137	FALSE	FALSE
SIN3B	SIN3A	-0.814678228587063	-1.18934057266301	0.345310897182987	-0.865571719237295	-1.7788079010541	0.0674961538838424	0.374662344075949	0.913236181816804	0.466250184258954	0.135980538424842	FALSE	FALSE
SIX1	SIX2	1.03623466201183	0.161445229456804	0.00432900432900433	0.89544239787751	0.383008654612524	0.30952380952381	0.874789432555026	0.512433743264986	0.0135997944217122	0.451170298627926	TRUE	FALSE
SIX2	SIX1	0.287431393872108	1.04697809078989	0.00987482265059421	-0.00436583472613004	0.0261064780289139	0.902462275054423	-0.759546696917783	-0.0304723127550439	0.0268532726624854	0.935081393429884	TRUE	FALSE
SIX5	SIX4	0.242001474155516	0.796510900808226	0.0036743109353476	0.160318987228882	1.33563816070254	2.04103314699719e-05	-0.55450942665271	-1.17531917347366	0.0119523684327146	0.000224676928821451	TRUE	TRUE
SIX4	SIX5	0.0757776434563687	0.829205754105556	0.000577781284796198	-0.10968575695271	0.821311232278048	0.000834090178852782	-0.753428110649188	-0.930996989230758	0.00264128587335405	0.00411364905412698	TRUE	TRUE
SLC9A5	SLC9A3	-0.0722057295342668	0.897344711706971	0.00570350789517522	-0.478073677173118	0.647846038940828	0.00230645771025736	-0.969550441241238	-1.12591971611395	0.0170239194441672	0.00933437002739448	TRUE	TRUE
SLC9A3	SLC9A5	-0.373609644862067	0.499376624385663	0.0263540443400591	-0.661517536499062	0.313323131825353	0.0185537262328588	-0.87298626924773	-0.974840668324416	0.0606407441670924	0.0506546176516145	TRUE	TRUE
SLC9A3R1	SLC9A3R2	-0.0980820370095272	-0.438970364925132	0.340106951871658	-0.614593690365051	-0.167523394778248	0.796174413821473	0.340888327915605	-0.447070295586803	0.466122675075101	0.880567681824886	FALSE	FALSE
SLC9A3R2	SLC9A3R1	-0.129260241860144	1.06217570578932	0.0031553753566973	-0.390382888496299	1.51488180213107	0.000695550057788443	-1.19143594764947	-1.90526469062737	0.0105128244329673	0.00357118238625708	TRUE	TRUE
SLC12A4	SLC12A5	0.144732749809546	0.473105078245989	0.366875192434742	0.325832342674954	0.516374725431261	0.512486352283095	-0.328372328436443	-0.190542382756307	0.488220758984725	0.652945574760684	FALSE	FALSE
