gene1	gene2	time1_expected_logFC1	time1_expected_logFC2	time1_observed_logFC1	time1_observed_logFC2	time1_fdr1	time1_fdr2	time1_gi1	time1_gi2	time2_expected_logFC1	time2_expected_logFC2	time2_observed_logFC1	time2_observed_logFC2	time2_fdr1	time2_fdr2	time2_gi1	time2_gi2	time1_mean_expected_logFC	time1_mean_observed_logFC	time2_mean_expected_logFC	time2_mean_observed_logFC	time1_both_gi	time2_both_gi
BCL2L1	BCL2L2	-2.77895773330746	-2.45617487824311	-2.79792228712927	-2.98276726922961	0.846846906415289	0.550204416077629	FALSE	FALSE	-3.48506981710809	-3.47707784438804	-2.82433019474947	-3.27313363779462	0.417717175975716	0.957859112210744	FALSE	FALSE	-2.61756630577529	-2.89034477817944	-3.48107383074806	-3.04873191627204	FALSE	FALSE
BCL2L1	MCL1	-3.69941720624695	-4.08857482142448	-2.88218526430282	-1.1657266384748	0.337775556992208	0.000290261347487479	FALSE	TRUE	-4.75138563286761	-5.04632924231171	-2.75763309463803	-1.23369418458514	0.0258986366841277	0.000432891707810201	TRUE	TRUE	-3.89399601383572	-2.02395595138881	-4.89885743758966	-1.99566363961158	FALSE	TRUE
PARP1	PARP2	0.915446610963787	0.206414073779623	-0.158698616550107	-0.275414038234174	0.0151379078653263	0.268706554843549	TRUE	FALSE	0.904876967430612	0.281034283580293	-0.393231527601815	-0.737367159513634	0.0341151246683137	0.0929347282288459	TRUE	TRUE	0.560930342371705	-0.21705632739214	0.592955625505452	-0.565299343557724	FALSE	TRUE
MAPK1	MAPK3	-0.136136231811164	-0.158702913219954	-0.434088561322176	-0.965635322664522	0.677568813688409	0.000281116505976212	FALSE	TRUE	-0.882414023191951	-0.435514486647785	-0.517352003785923	-1.07733386041409	0.602927033189272	0.117426181942311	FALSE	FALSE	-0.147419572515559	-0.699861941993349	-0.658964254919868	-0.797342932100007	FALSE	FALSE
MDM2	TP53	0.538149705038864	0.293940167604961	0.15144870192628	0.561857794975738	0.963599091909386	0.466250184258954	FALSE	FALSE	0.381600923353484	0.179023162779095	0.15045764473718	0.632782808388957	0.935081393429884	0.138086747616702	FALSE	FALSE	0.416044936321912	0.356653248451009	0.280312043066289	0.391620226563068	FALSE	FALSE
ABHD12	ABHD12B	0.0158191451921754	-0.46063085646282	0.185352338193092	-0.32044888284102	1	0.72655861770344	FALSE	FALSE	0.18643337308635	-0.262264738560246	0.313230984666219	-0.575157132684676	0.652945574760684	0.775776478280125	FALSE	FALSE	-0.222405855635322	-0.067548272323964	-0.037915682736948	-0.130963074009229	FALSE	FALSE
ABL1	ABL2	1.62266517681018	0.31931275387215	0.0446263309982023	0.0917285238392039	6.74172717562787e-06	0.557931461222404	TRUE	FALSE	1.89181092806032	0.583836540048716	0.0724993706612444	0.0221183199876652	1.91721443449519e-05	0.382819758871348	TRUE	FALSE	0.970988965341165	0.0681774274187031	1.23782373405452	0.0473088453244548	FALSE	FALSE
DMWD	WDR20	-1.13555918342053	-0.286368518057804	-0.714046818972703	-0.149554667717294	0.131737174105202	0.510080970522651	FALSE	FALSE	-2.24899824613281	-0.242461060231845	-0.966640957419212	-0.339165835816238	0.00553513241804873	0.704500184783522	TRUE	FALSE	-0.710963850739167	-0.431800743344998	-1.24572965318233	-0.652903396617725	FALSE	FALSE
HNRNPL	HNRNPLL	-2.36237139682019	-1.21281364848752	-2.42295335483545	-1.66421222688492	0.849978900203288	0.820636761794186	FALSE	FALSE	-1.8732518256735	-0.590255320793081	-2.67221405587783	-2.09917059524815	0.230350196873652	0.146165019320634	FALSE	FALSE	-1.78759252265385	-2.04358279086019	-1.23175357323329	-2.38569232556299	FALSE	FALSE
ACBD3	TMED8	0.577162147699418	1.16222755583978	0.278475952647842	0.177790415280234	0.221684321580582	0.000222740954021466	FALSE	TRUE	0.806295870116803	0.384692956582154	0.306519526984605	0.209957024684492	0.182827582449176	0.535585019048783	FALSE	FALSE	0.869694851769599	0.228133183964038	0.595494413349479	0.258238275834549	FALSE	FALSE
