gene1	gene2	time1_observed_logFC	time1_expected_logFC	time1_pval	time2_observed_logFC	time2_expected_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_is_gi	time2_is_gi
EIF4A2	EIF4A1	-2.09694288100917	-3.28918531370088	0.0975257598239064	-2.13517379642769	-4.09092179747438	0.0294964746728803	1.1922424326917	1.95574800104668	0.200891385505532	0.103538645790519	FALSE	FALSE
EIF4EBP1	EIF4EBP2	0.545751132926987	1.85889931411087	4.95533541703955e-05	0.665721950400054	1.78206428483062	0.0449019952990878	-1.31314818118388	-1.11634233443057	0.000655628993639079	0.139551331451323	TRUE	FALSE
EIF4EBP2	EIF4EBP1	-0.086187328255212	-1.23902327178794	0.0649350649350649	-0.248126377194467	-1.69463963823441	0.17965367965368	1.15283594353273	1.44651326103995	0.148917748917749	0.357230438155294	FALSE	FALSE
EIF4G1	EIF4G3	-2.05072703840308	-2.84091314164535	0.106445693561888	-2.85325376770207	-2.66302815259561	0.712965124764759	0.790186103242271	-0.19022561510646	0.213823758162274	0.832801368146272	FALSE	FALSE
EIF4G3	EIF4G1	-1.34329204128234	-1.78095041425989	0.412375778055245	-1.94061103537695	-2.98442562612635	0.173608899884423	0.437658372977544	1.0438145907494	0.573740212946428	0.34571034188273	FALSE	FALSE
ELAVL1	ELAVL2	-0.18622223636865	1.82800769530614	1.28934500757877e-08	-0.607219788423972	1.34661001293653	3.50701842061425e-06	-2.01422993167479	-1.9538298013605	1.61285339129853e-06	0.000166401977474663	TRUE	TRUE
ELAVL2	ELAVL1	0.440858914744849	0.0317984621159124	0.216856638760083	0.0579419960518232	-0.585920566585093	0.0742044999172241	0.409060452628936	0.643862562636917	0.363442530241299	0.197878666445931	FALSE	FALSE
ELK3	ELK4	0.118247829305191	-0.0731175034109621	0.436289427525659	0.127267955682352	-1.09810943873601	0.115978749531323	0.191365332716153	1.22537739441837	0.597942482345923	0.265094284643024	FALSE	FALSE
ELK4	ELK3	0.242079448991892	0.577457845964819	0.0209023068445138	-0.118858827453487	0.542761939429707	0.0185537262328588	-0.335378396972926	-0.661620766883194	0.0640569581693785	0.0755323292793305	TRUE	TRUE
ELMO2	ELMO3	-0.358857086805111	-0.238732472318097	0.566774494589651	-0.842357896846109	0.479262217430042	0.0555296397209032	-0.120124614487014	-1.32162011427615	0.712220734753753	0.160860598433606	FALSE	FALSE
ELMO3	ELMO2	-0.0997049641520903	-1.24660102435962	0.00270187403718162	-0.329453653839521	-1.73214291555333	0.00570350789517522	1.14689606020753	1.40268926171381	0.0130907699829644	0.0325644268205855	TRUE	TRUE
ELMOD2	ELMOD1	0.225463059647929	0.936526035105539	5.61896554302828e-05	0.212400449007167	0.613838418469392	0.0453338990979227	-0.711062975457611	-0.401437969462225	0.000696549242090713	0.139551331451323	TRUE	FALSE
ELMOD1	ELMOD2	0.45784959546208	0.9310350535865	0.0969051502137362	0.356764989430323	0.401940264121667	0.588908461067292	-0.47318545812442	-0.0451752746913437	0.200891385505532	0.748226954737851	FALSE	FALSE
ELOVL1	ELOVL7	0.20205564799799	0.581652567053701	0.324548174828994	0.198903595984195	-0.259007135463016	0.366875192434742	-0.379596919055711	0.457910731447212	0.485939378198799	0.562787363199783	FALSE	FALSE
ELOVL7	ELOVL1	-0.154426832827241	0.336055832078156	0.213322782540945	-0.764134713418152	-0.131669479251269	0.184361246043808	-0.490482664905397	-0.632465234166883	0.362833311219209	0.366062156646868	FALSE	FALSE
EMC8	EMC9	0.198415693393161	-0.591380840315246	0.304590816047085	-0.456058069021336	-1.64485762307986	0.160685472537209	0.789796533708407	1.18879955405852	0.462601504283431	0.325630648322828	FALSE	FALSE
EMC9	EMC8	-0.20533826223241	1.09963772119483	0.0367175416419757	-0.368008991370845	-0.417680713730333	0.682673807575057	-1.30497598342724	0.0496717223594881	0.097160264037228	0.816124378126219	TRUE	FALSE
EME1	EME2	-0.464122953261215	-1.50638707061868	0.798745338656498	-1.07562306182671	-2.2473462521582	0.159973019308058	1.04226411735747	1.17172319033149	0.884075919601081	0.325630648322828	FALSE	FALSE
EME2	EME1	-0.495407529578606	-0.363437295102923	0.594883930583728	-1.20066210444308	-0.849813127776074	0.460958749211566	-0.131970234475682	-0.350848976667003	0.734134787877318	0.641983035339184	FALSE	FALSE
EMX1	EMX2	0.221076902214029	0.234397220501976	0.594883930583728	0.00128567798422988	-0.18476292373196	0.345310897182987	-0.0133203182879462	0.18604860171619	0.734134787877318	0.541787679046512	FALSE	FALSE
EMX2	EMX1	-0.110808127201294	-0.0496544231465451	0.838134776780856	-0.638030353187468	0.0187836446854555	0.160685472537209	-0.0611537040547486	-0.656813997872924	0.908804927384128	0.325630648322828	FALSE	FALSE
EN2	EN1	0.235154327263366	0.0573559871401583	0.324548174828994	-0.00539514993799534	0.00142893787646926	0.934887200362667	0.177798340123207	-0.0068240878144646	0.485939378198799	0.963599091909386	FALSE	FALSE
EN1	EN2	0.171625816392876	-0.262657676699708	0.113502327528441	-0.0454350893491484	-0.831984282874529	0.218920801906399	0.434283493092583	0.786549193525381	0.226675185310792	0.402182941820033	FALSE	FALSE
ENOX2	ENOX1	0.164985173734397	0.367119537282346	0.201679436339622	-0.302963099965208	0.664142107379525	0.0112560077030628	-0.202134363547949	-0.967105207344733	0.343879683275489	0.0528609781549981	FALSE	TRUE
ENOX1	ENOX2	0.0814390710396819	1.01051170543181	8.97899863277855e-05	0.0340195811308657	0.991859451634705	0.00270187403718162	-0.929072634392129	-0.957839870503839	0.00097284268651207	0.0184964113192134	TRUE	TRUE
ENTPD6	ENTPD5	0.224497206670315	0.429269063597455	0.201679436339622	0.0240250639622572	0.150237705928838	0.173608899884423	-0.204771856927141	-0.126212641966581	0.343879683275489	0.34571034188273	FALSE	FALSE
ENTPD5	ENTPD6	-0.369076083266309	0.233706121624735	0.0367175416419757	-0.760323430637645	-0.817210965399646	0.774840301727361	-0.602782204891044	0.0568875347620015	0.097160264037228	0.873918241948237	TRUE	FALSE
SRCAP	EP400	-0.804293015352444	-0.262895209996358	0.0185537262328588	-1.07930800303495	-0.746099601217223	0.324548174828994	-0.541397805356087	-0.333208401817729	0.0589605711233573	0.519881593206864	TRUE	FALSE
EP400	SRCAP	-0.877800590183704	-1.10263149640457	0.366875192434742	-0.930253091967832	-2.04610459384863	0.0612792417000994	0.22483090622087	1.1158515018808	0.528054670282642	0.172787370039624	FALSE	FALSE
EPC1	EPC2	-0.603522807209787	-0.138621675491828	0.65287003041307	-0.992368521105412	-1.28650796173958	0.743702065375981	-0.464901131717959	0.294139440634172	0.783899792188817	0.855630469864005	FALSE	FALSE
EPC2	EPC1	-0.524133079558755	-1.19495499049765	0.304590816047085	-0.69255753805796	-2.21093827823841	0.0209023068445138	0.670821910938894	1.51838074018045	0.462601504283431	0.0814775473599177	FALSE	TRUE
EPS15	EPS15L1	0.0357397016342836	0.208959000817672	0.345310897182987	-0.150438876183233	-0.0724443045473256	0.512486352283095	-0.173219299183389	-0.0779945716359077	0.506014690653664	0.683977905665896	FALSE	FALSE
EPS15L1	EPS15	-0.13276330278695	0.767404260943952	4.40440254588908e-05	-0.26028698827197	0.349122199745051	0.216856638760083	-0.900167563730902	-0.609409188017021	0.000588393971178968	0.398923442424966	TRUE	FALSE
ERC1	ERC2	0.412347480937418	0.0330718448084202	0.870194456435353	0.326620684696323	-0.463079948702339	0.106445693561888	0.379275636128998	0.789700633398662	0.927488436913281	0.249097405342105	FALSE	FALSE
ERC2	ERC1	0.284907329601887	0.493344222011519	0.232811909318818	-0.0859129968692089	0.0425801753366741	0.512486352283095	-0.208436892409632	-0.128493172205883	0.381822630777943	0.683977905665896	FALSE	FALSE
ERLIN1	ERLIN2	0.110066529652019	0.292894646232283	0.389233298727313	0.133248775947439	-0.0777422226886235	0.304590816047085	-0.182828116580263	0.210990998636062	0.55101339408311	0.4971731469523	FALSE	FALSE
ERLIN2	ERLIN1	0.329508723225534	0.286992329873281	0.743702065375981	-0.150449328907835	-0.478694072553313	0.460958749211566	0.0425163933522537	0.328244743645478	0.847832677678003	0.641983035339184	FALSE	FALSE
ESRP2	ESRP1	0.149323793011904	0.484371223777614	0.0814293446671917	-0.0780040195387439	0.201029182668265	0.216856638760083	-0.33504743076571	-0.279033202207009	0.17672993416728	0.398923442424966	FALSE	FALSE
ESRP1	ESRP2	0.0741710741471932	0.510608328364552	0.623594278712037	-0.425894372740573	0.216057098990166	0.324548174828994	-0.436437254217358	-0.641951471730739	0.75667171737898	0.519881593206864	FALSE	FALSE
ESYT2	ESYT3	0.242277248018554	0.204006407325669	1	0.118558579243536	-0.100216613307628	0.486364763954452	0.0382708406928851	0.218775192551164	1	0.66326849871291	FALSE	FALSE
ESYT3	ESYT2	0.0923939153339616	1.3454742403518	0.00864180912639655	-0.281436532287609	0.246888036032718	0.136974224446085	-1.25308032501784	-0.528324568320327	0.0317096782877911	0.299169099742559	TRUE	FALSE
ETS2	ETS1	0.105731786638514	0.508430220992043	0.160685472537209	0.235214061377053	0.295605849106236	0.65287003041307	-0.402698434353529	-0.0603917877291835	0.295988233214458	0.792894229345441	FALSE	FALSE
ETS1	ETS2	0.0875013596847936	-0.0539510475497816	0.0975257598239064	-0.473442307949267	-0.459692573687123	0.201679436339622	0.141452407234575	-0.0137497342621433	0.200891385505532	0.382246424797961	FALSE	FALSE
ETV1	ETV4	-0.161675043182917	-1.37780953445093	0.0164317222193857	-0.420725395426545	-1.94402354460171	0.0294964746728803	1.21613449126802	1.52329814917516	0.0533255890893271	0.103538645790519	TRUE	FALSE
ETV4	ETV1	-0.734817069091036	0.437549065999325	8.97899863277855e-05	-1.19808301348988	-0.214353261664891	0.0234961466635103	-1.17236613509036	-0.983729751824992	0.00097284268651207	0.0883352399152739	TRUE	TRUE
