gene1	gene2	time1_expected_logFC1	time1_expected_logFC2	time1_observed_logFC1	time1_observed_logFC2	time1_fdr1	time1_fdr2	time1_gi1	time1_gi2	time2_expected_logFC1	time2_expected_logFC2	time2_observed_logFC1	time2_observed_logFC2	time2_fdr1	time2_fdr2	time2_gi1	time2_gi2	time1_mean_expected_logFC	time1_mean_observed_logFC	time2_mean_expected_logFC	time2_mean_observed_logFC	time1_both_gi	time2_both_gi
TRA2A	TRA2B	-1.78570166676499	-1.89348691313959	-2.3431201789572	-1.80831525635114	0.506014690653664	0.927488436913281	FALSE	FALSE	-2.47592275640751	-2.24297801094039	-2.9679918136008	-2.45351241796831	0.299169099742559	0.625348179453445	FALSE	FALSE	-1.83959428995229	-2.07571771765417	-2.35945038367395	-2.71075211578456	FALSE	FALSE
PAIP1	PAIP2	0.385659226399147	0.154943439319515	0.486198997484169	0.00664677046119979	0.62429058948338	0.862605384447289	FALSE	FALSE	0.529736138066896	0.0905403199473108	0.853764160497445	0.191334537623893	0.585979233094949	1	FALSE	FALSE	0.270301332859331	0.246422883972684	0.310138229007103	0.522549349060669	FALSE	FALSE
EIF4E	EIF4E2	-2.89176743336318	-2.83627051174632	-2.19555943637559	-3.24414116194447	0.462601504283431	0.669052391595387	FALSE	FALSE	-3.94572000411225	-4.24016056516571	-2.68672828287494	-3.42299617948764	0.160860598433606	0.585979233094949	FALSE	FALSE	-2.86401897255475	-2.71985029916003	-4.09294028463898	-3.05486223118129	FALSE	FALSE
ENO1	ENO2	-1.6811395697366	-1.97896171414081	-3.94132274324703	-3.40491697607859	0.00023594598935625	0.00247731954247428	TRUE	TRUE	-1.76301332331381	-3.07278897912691	-4.71402747086144	-3.48670425230376	0.000841470576512064	0.121574128331574	TRUE	FALSE	-1.83005064193871	-3.67311985966281	-2.41790115122036	-4.1003658615826	TRUE	FALSE
ENO1	ENO3	-2.71480906005489	-2.8755563650224	-3.0650113925802	-2.8175323971586	0.734134787877318	0.945044208884997	FALSE	FALSE	-3.28119556038711	-3.60992441005423	-3.54533166400535	-3.49205195655182	0.984590385665247	0.919173862508249	FALSE	FALSE	-2.79518271253865	-2.9412718948694	-3.44555998522067	-3.51869181027859	FALSE	FALSE
ENO2	ENO3	0.103838298271476	0.240913137708177	-0.200777707402196	-0.537448927908383	0.312269080053551	0.0284381314721719	FALSE	TRUE	-0.752611867660918	0.22843493848506	-0.369981121895999	-0.658077340946545	0.528462912787062	0.0200509306983804	FALSE	TRUE	0.172375717989826	-0.369113317655289	-0.262088464587929	-0.514029231421272	FALSE	FALSE
CREBBP	EP300	0.302461024708328	1.10036709050222	-0.209129084654762	-0.493683062360659	0.362833311219209	0.0761831197729439	FALSE	TRUE	-0.0567412289108319	1.35136646272049	0.427111788372405	-0.202760040546223	0.832801368146272	0.249097405342105	FALSE	FALSE	0.701414057605274	-0.35140607350771	0.647312616904829	0.112175873913091	FALSE	FALSE
BCL2L1	BCL2L2	-2.37167476034321	-3.23812361297467	-2.3404973543978	-2.87561684111445	0.962877835104064	0.778103739145668	FALSE	FALSE	-2.7100511118708	-4.41657062753514	-2.17309608292021	-2.88498844681955	0.602366316989402	0.18842514366024	FALSE	FALSE	-2.80489918665894	-2.60805709775613	-3.56331086970297	-2.52904226486988	FALSE	FALSE
BCL2L1	MCL1	-3.50435416299382	-3.22533477072472	-2.53842575206464	-1.09402089154857	0.262807037209367	0.00275329259762577	FALSE	TRUE	-3.65874524113197	-3.26815657515839	-2.49838992918506	-1.18155509989634	0.173126431501213	0.00599990609109939	FALSE	TRUE	-3.36484446685927	-1.81622332180661	-3.46345090814518	-1.8399725145407	FALSE	FALSE
PARP1	PARP2	0.174835404578336	0.0683081100662628	-0.121650158944725	-0.00855209502018601	0.506014690653664	0.927488436913281	FALSE	FALSE	-0.467023398856525	-0.551095204079977	-0.540336047695318	-0.728694827067573	0.892610844005918	0.80727921622702	FALSE	FALSE	0.121571757322299	-0.0651011269824555	-0.509059301468251	-0.634515437381445	FALSE	FALSE
MAPK1	MAPK3	-0.740884874511543	-1.20670597970314	-0.703581861622038	-1.2707489718983	0.984590385665247	0.821641550817679	FALSE	FALSE	-0.596679960210591	-1.0644285258866	-1.01763809186125	-1.74573808567905	0.832801368146272	0.249097405342105	FALSE	FALSE	-0.973795427107341	-0.987165416760169	-0.830554243048595	-1.38168808877015	FALSE	FALSE
MDM2	TP53	0.0324703065807519	0.227302921062038	0.148502244311633	0.28265625335661	0.436720661102393	0.686969181272928	FALSE	FALSE	-0.768161813798465	-0.222267807566845	0.248285173944012	0.0352526304843507	0.0355374576740057	0.773869418392208	TRUE	FALSE	0.129886613821395	0.215579248834121	-0.495214810682655	0.141768902214181	FALSE	FALSE
ABHD12	ABHD12B	0.0568109220880335	-0.641209993738599	-0.206615658863666	-0.247403257058015	0.200891385505532	0.804935012187899	FALSE	FALSE	-0.821848794117676	-1.8002082477699	-0.487087979134917	-0.513458533288285	0.641983035339184	0.197878666445931	FALSE	FALSE	-0.292199535825283	-0.22700945796084	-1.31102852094379	-0.500273256211601	FALSE	FALSE
ABL1	ABL2	0.830002360349574	-0.0635151726757157	-0.235893356563463	-0.352736235976675	0.000830387136284405	0.62429058948338	TRUE	FALSE	0.0210332112573957	-0.749371456953935	-0.725271047119095	-0.555612767509163	0.0814775473599177	0.963599091909386	TRUE	FALSE	0.383243593836929	-0.294314796270069	-0.36416912284827	-0.640441907314129	FALSE	FALSE
DMWD	WDR20	-1.09008971488145	0.443103521784062	-0.259279689670428	-0.442996117903597	0.0894091735242248	0.00606841797691618	TRUE	TRUE	-2.34108906770766	-0.323290829694213	-0.626238112075545	-0.629072631618258	0.00673997802476689	0.641983035339184	TRUE	FALSE	-0.323493096548694	-0.351137903787012	-1.33218994870094	-0.627655371846902	FALSE	FALSE
HNRNPL	HNRNPLL	-1.93266994360737	0.364569008692792	-2.03355842320163	-1.89204147891511	0.862605384447289	0.00399511079336467	FALSE	TRUE	-3.0291925802674	-0.980897022837432	-2.67127531579121	-2.17042856505066	0.747637707376435	0.418757107480646	FALSE	FALSE	-0.784050467457289	-1.96279995105837	-2.00504480155242	-2.42085194042093	FALSE	FALSE
ACBD3	TMED8	0.457551118901274	0.591830420620712	0.036401202973622	-0.0995171513462544	0.122304799752316	0.0317096782877911	FALSE	TRUE	-0.131306657722581	-0.0402392378632684	-0.210546718747385	-0.0896989437366675	0.704724397406024	0.816124378126219	FALSE	FALSE	0.524690769760993	-0.0315579741863162	-0.0857729477929247	-0.150122831242026	FALSE	FALSE
DBI	ACBD7	1.94666140675663	1.15841532895052	-0.457262301723288	0.031844486238072	0.000696549242090713	0.0819047619047619	TRUE	TRUE	1.92516661414318	0.996556096178704	-0.452189556022332	-0.266071192752975	0.00136091225113278	0.103458646616541	TRUE	FALSE	1.55253836785357	-0.212708907742608	1.46086135516094	-0.359130374387653	TRUE	FALSE
ACSL1	ACSL6	0.636574035312068	0.95526137944155	-0.127478457787967	0.136124210820945	0.00296290862728702	0.00296290862728702	TRUE	TRUE	1.90406990767359	1.31175323483721	-0.24570069804093	-0.176696064280965	0.000841470576512064	0.00136091225113278	TRUE	TRUE	0.795917707376809	0.00432287651648901	1.6079115712554	-0.211198381160947	TRUE	TRUE
ACTR1A	ACTR1B	-0.924358401893869	-0.769814905605248	-3.1366844492308	-1.41838202684165	0.00296290862728702	0.573740212946428	TRUE	FALSE	-1.3966122869901	-1.52251014650224	-3.29550592853914	-1.82733859806565	0.010637782895371	0.892610844005918	TRUE	FALSE	-0.847086653749558	-2.27753323803622	-1.45956121674617	-2.5614222633024	FALSE	FALSE
ACVR2A	ACVR2B	1.07549669196746	0.272013936694933	-0.179255155677773	-0.495101126153427	0.0111675231430739	0.0826622182278682	TRUE	TRUE	1.44367668739411	0.302148050195936	-0.137174275490294	-0.312964316409748	0.00242019336818766	0.234197985196676	TRUE	FALSE	0.673755314331197	-0.3371781409156	0.872912368795023	-0.225069295950021	TRUE	FALSE
ADAMTS6	ADAMTS10	0.296216397044376	0.845657351220939	0.0672032860086293	0.463915957537539	0.105432870725343	0.444306151982636	FALSE	FALSE	0.324948356629273	1.33229546926336	-0.0791409340051473	0.323633320100594	0.208345697786575	0.197878666445931	FALSE	FALSE	0.570936874132657	0.265559621773084	0.828621912946316	0.122246193047723	FALSE	FALSE
ADAMTSL1	ADAMTSL3	0.785966087254368	1.0150919661033	-0.0182897814738993	-0.026863687321897	0.00097284268651207	0.00790845873581817	TRUE	TRUE	0.419744998633769	1.18334021904972	-0.0826259356986023	-0.11323892311747	0.325630648322828	0.00276566673117248	FALSE	TRUE	0.900529026678834	-0.0225767343978981	0.801542608841745	-0.0979324294080361	TRUE	FALSE
ADAP2	ADAP1	0.843515918897513	-0.0490087324474558	-0.890744610066366	-0.0591914735237639	0.0068607733753125	1	TRUE	FALSE	0.995445088754764	-0.557736195945316	-1.1265280505156	0.140128083344386	0.00765138724067619	0.892610844005918	TRUE	FALSE	0.397253593225029	-0.474968041795065	0.218854446404724	-0.493199983585607	FALSE	FALSE
ADSS	ADSSL1	-1.25381419939934	-1.62509313271231	-1.49015016345879	-2.48945289362589	0.734134787877318	0.226685737720313	FALSE	FALSE	-2.7238683528937	-2.37339740360875	-2.07983505674692	-3.26653159325839	0.371326629148907	0.234197985196676	FALSE	FALSE	-1.43945366605583	-1.98980152854234	-2.54863287825123	-2.67318332500265	FALSE	FALSE
AGPAT3	AGPAT4	2.01945174372905	0.605208563298374	0.359112711544487	0.232896973620273	0.213823758162274	0.295988233214458	FALSE	FALSE	2.4986781610005	0.438381915485918	0.235893444363415	0.0312488694476649	0.00673997802476689	0.455421939725868	TRUE	FALSE	1.31233015351371	0.29600484258238	1.46853003824321	0.13357115690554	FALSE	FALSE
AHCYL1	AHCYL2	-0.778470187976087	0.180833262647887	-0.642982687617376	-0.825748596871806	0.75667171737898	0.0352014403295794	FALSE	TRUE	-1.99634163658259	-0.112963413031766	-1.40283186014216	-1.21027963777832	0.197878666445931	0.00765138724067619	FALSE	TRUE	-0.2988184626641	-0.734365642244591	-1.05465252480718	-1.30655574896024	FALSE	FALSE
